Año Indice,Cod Divipola Dpto,Departamento,Cod Divipola municipio,Municipio,Entidad Territorial,Ranking,"Índice de Madurez 
CTI","Índice
Capacidades","Índice
Resultados","Índice
Percepción"
2020,15,Boyacá,15212,Coper,Alcaldia de Coper,51,2.8,3.4,3,2
2020,63,Quindío,63470,Montenegro,Alcaldia de Montenegro,52,2.8,3,3.5,1.7
2020,15,Boyacá,15572,Puerto Boyacá,Alcaldia de Puerto Boyacá,53,2.7,3.1,3.1,2
2020,81,Arauca,81001,Arauca,Alcaldia de Arauca,54,2.7,2.8,3.2,2.1
2020,68,Santander,68615,Rionegro Santander,Alcaldia de Rionegro Santander,55,2.6,3.5,2.9,1.4
2020,76,Valle Del Cauca,76364,Jamundí,Alcaldia de Jamundí,56,2.6,2.5,3.2,2.1
2020,15,Boyacá,15407,Villa De Leyva,Alcaldia de Villa De Leyva,57,2.6,3.1,3.2,1.5
2020,20,Cesar,20011,Aguachica,Alcaldia de Aguachica,58,2.5,2.7,3.2,1.6
2020,70,Sucre,70215,Corozal,Alcaldia de Corozal,59,2.5,2.5,3.3,1.6
2020,76,Valle Del Cauca,76109,Buenaventura,Alcaldia de Buenaventura,60,2.2,2.2,3.2,1.3
2020,73,Tolima,73268,Espinal,Alcaldia de Espinal,61,2.4,2.8,3.5,0.7
2021,5,Antioquia,5631,Sabaneta,Alcaldia de Sabaneta,1,4.9,5.5,4.9,4.3
2021,5,Antioquia,5360,Itagüí,Alcaldia de Itagüí,2,4.6,5.6,4.2,3.9
2021,25,Cundinamarca,25758,Sopó,Alcaldia de Sopó,3,4.4,4.1,4.8,4.4
2021,73,Tolima,73001,Ibagué,Alcaldia de Ibagué,4,4.3,5.2,4.4,3.4
2021,5,Antioquia,5440,Marinilla,Alcaldia de Marinilla,5,4.3,4.8,3.9,4.1
2021,5,Antioquia,5656,San Jerónimo,Alcaldia de San Jerónimo,6,4.2,5,3.6,4.1
2021,68,Santander,68502,Onzaga,Alcaldia de Onzaga,7,4.2,4.8,2.9,3.6
2021,5,Antioquia,5001,Medellín,Alcaldia de Medellín,8,4.2,4.4,4.7,3.4
2021,15,Boyacá,15516,Paipa,Alcaldia de Paipa,9,4.1,4.2,4.3,3.6
2021,5,Antioquia,5154,Caucasia,Alcaldia de Caucasia,10,4,5.5,3.6,2.8
2021,5,Antioquia,5266,Envigado,Alcaldia de Envigado,11,3.9,3.1,4.2,4.5
2021,25,Cundinamarca,25430,Madrid,Alcaldia de Madrid,18,3.9,5.3,3.5,2.8
2021,54,Norte de Santander,54125,Cácota,Alcaldia de Cácota,19,3.8,4.2,3.2,4.1
2021,54,Norte de Santander,54520,Pamplonita,Alcaldia de Pamplonita,20,3.8,N/A,3.6,4.1
2021,5,Antioquia,5150,Carolina Del Príncipe,Alcaldia de Carolina Del Príncipe,21,3.8,N/A,3.3,4.4
2021,19,Cauca,19300,Guachené,Alcaldia de Guachené,22,3.8,4.8,3.1,3.5
2021,5,Antioquia,5129,Caldas,Alcaldia de Caldas,23,3.8,4.2,3.8,3.3
2021,52,Nariño,52001,Pasto,Alcaldia de Pasto,24,3.8,3.2,4.5,3.6
2021,73,Tolima,73555,Planadas,Alcaldia de Planadas,25,3.7,5.4,2.6,3.2
2021,20,Cesar,20400,La Jagua De Ibirico,Alcaldia de La Jagua De Ibirico,26,3.7,2.7,4.8,3.6
2021,15,Boyacá,15317,Guacamayas,Alcaldia de Guacamayas,27,3.7,N/A,3.6,3.8
2021,76,Valle del Cauca,76736,Sevilla,Alcaldia de Sevilla,28,3.7,3.4,3.9,3.8
2021,5,Antioquia,5607,El Retiro,Alcaldia de El Retiro,29,3.7,3.8,3.4,3.8
2021,70,Sucre,70418,Los Palmitos,Alcaldia de Los Palmitos,30,3.7,4,3.8,3.2
2021,5,Antioquia,5686,Santa Rosa De Osos,Alcaldia de Santa Rosa De Osos,31,3.6,4.2,3.4,3.3
2021,5,Antioquia,5376,La Ceja,Alcaldia de La Ceja,32,3.6,3.4,3.8,3.7
2021,5,Antioquia,5659,San Juan De Urabá,Alcaldia de San Juan De Urabá,33,3.6,4.2,3.2,3.5
2021,5,Antioquia,5088,Bello,Alcaldia de Bello,34,3.6,3.9,3.5,3.4
2021,68,Santander,68689,"San Vicente De 
Chucurí","Alcaldia de San Vicente De 
Chucurí",35,3.6,3.7,3.3,3.9
2021,5,Antioquia,5411,Liborina,Alcaldia de Liborina,36,3.6,3.7,3.3,3.6
2021,85,Casanare,85410,Tauramena,Alcaldia de Tauramena,37,3.6,3.3,4,3.3
2021,15,Boyacá,15322,Guateque,Alcaldia de Guateque,38,3.5,4,3.1,3.5
2021,5,Antioquia,5318,Guarne,Alcaldia de Guarne,39,3.5,3.3,4,3.3
2021,76,Valle del Cauca,70717,San Pedro,Alcaldia de San Pedro,40,3.5,3.4,3.4,3.7
2021,76,Valle del Cauca,76895,Zarzal,Alcaldia de Zarzal,41,3.5,3.2,3.5,3.8
2021,76,Valle del Cauca,76318,Guacarí,Alcaldia de Guacarí,42,3.5,2.8,4.1,3.5
2021,8,Atlántico,8549,Piojó,Alcaldia de Piojó,43,3.5,3.6,3.4,3.5
2021,15,Boyacá,15244,El Cocuy,Alcaldia de El Cocuy,44,3.5,N/A,3.3,3.6
2021,50,Meta,50150,Castilla La Nueva,Alcaldia de Castilla La Nueva,45,3.5,3.4,3.4,3.6
2021,5,Antioquia,5142,Caracolí,Alcaldia de Caracolí,46,3.4,N/A,3.4,N/A
2021,76,Valle del Cauca,76497,Obando,Alcaldia de Obando,47,3.4,4.1,3.3,2.8
2021,5,Antioquia,5380,La Estrella,Alcaldia de La Estrella,48,3.4,2.9,3.5,3.8
2021,52,Nariño,19256,El Tambo,Alcaldia de El Tambo,49,3.3,4.3,3.5,2.3
2021,5,Antioquia,5212,Copacabana,Alcaldia de Copacabana,50,3.3,3.2,3.2,3.7
2021,76,Valle del Cauca,76122,Caicedonia,Alcaldia de Caicedonia,51,3.3,4.3,3.5,2.2
2021,76,Valle del Cauca,76246,El Cairo,Alcaldia de El Cairo,52,3.3,3.1,3.4,3.5
2021,76,Valle del Cauca,76147,Cartago,Alcaldia de Cartago,53,3.3,3.4,3.4,3.2
2021,41,Huila,41349,Hobo,Alcaldia de Hobo,54,3.3,N/A,3.3,N/A
2021,76,Valle del Cauca,76520,Palmira,Alcaldia de Palmira,55,3.3,N/A,3.6,3
2021,76,Valle del Cauca,76041,Ansermanuevo,Alcaldia de Ansermanuevo,56,3.3,3.2,3.3,3.4
2021,5,Antioquia,5347,Heliconia,Alcaldia de Heliconia,57,3.3,3.3,3.1,3.5
2021,81,Arauca,81001,Arauca,Alcaldia de Arauca,58,3.3,3.6,3.4,2.8
2021,47,Magdalena,47030,Algarrobo,Alcaldia de Algarrobo,59,3.3,3,3.4,3.4
2021,5,Antioquia,5308,Girardota,Alcaldia de Girardota,60,3.3,2.5,3.5,3.8
2021,5,Antioquia,5101,Ciudad Bolívar,Alcaldia de Ciudad Bolívar,61,3.2,3,3.2,3.5
2021,76,Valle del Cauca,76036,Andalucía,Alcaldia de Andalucía,62,3.2,3.7,3.1,2.9
2021,5,Antioquia,5250,El Bagre,Alcaldia de El Bagre,63,3.2,3.5,3.2,3
2021,27,Chocó,27600,Río Quito,Alcaldia de Río Quito,64,3.2,3.2,3.3,N/A
2021,5,Antioquia,5172,Chigorodó,Alcaldia de Chigorodó,65,3.2,3.6,3.3,2.8
2021,86,Putumayo,52203,Colón,Alcaldia de Colón,66,3.1,N/A,3.1,3.2
2021,8,Atlántico,8832,Tubará,Alcaldia de Tubará,67,3.1,3.4,3.2,2.8
2021,25,Cundinamarca,25214,Cota,Alcaldia de Cota,68,3.1,2.4,3.9,3
2021,8,Atlántico,8849,Usiacurí,Alcaldia de Usiacurí,69,3.1,1.7,3.9,3.6
2021,13,Bolívar,13001,Cartagena,Alcaldia de Cartagena,70,3.1,2.3,4.2,2.8
2021,76,Valle del Cauca,19100,Bolívar,Alcaldia de Bolívar,71,3,2.6,3.1,3.4
2021,5,Antioquia,5480,Mutatá,Alcaldia de Mutatá,72,3,3.3,2.7,N/A
2021,19,Cauca,19573,Puerto Tejada,Alcaldia de Puerto Tejada,73,3,3.1,3.3,2.6
2021,68,Santander,68264,Encino,Alcaldia de Encino,74,3,1.8,3.4,3.8
2021,44,La Guajira,44001,Riohacha,Alcaldia de Riohacha,75,3,2.8,3.3,3
2021,23,Córdoba,23672,San Antero,Alcaldia de San Antero,76,3,1.9,3.6,3.4
2021,25,Cundinamarca,25754,Soacha,Alcaldia de Soacha,77,3,2.7,3.2,3
2021,5,Antioquia,5789,Támesis,Alcaldia de Támesis,78,3,1.8,3.2,3.9
2021,73,Tolima,73411,Líbano,Alcaldia de Líbano,79,3,2.6,3.1,3.4
2021,5,Antioquia,5282,Fredonia,Alcaldia de Fredonia,80,3,2.8,3.3,2.9
2021,5,Antioquia,5031,Amalfi,Alcaldia de Amalfi,81,3,2.4,2.8,3.7
2021,76,Valle del Cauca,50606,Restrepo,Alcaldia de Restrepo,82,3,3,3.1,2.7
2021,68,Santander,68271,Florián,Alcaldia de Florián,83,2.9,N/A,3,2.9
2021,52,Nariño,52838,Túquerres,Alcaldia de Túquerres,84,2.9,2.8,3.3,2.8
2021,76,Valle del Cauca,76823,Toro,Alcaldia de Toro,85,2.9,2.3,3,3.5
2021,52,Nariño,52250,El Charco,Alcaldia de El Charco,86,2.9,3.3,3,2.3
2021,76,Valle del Cauca,76828,Trujillo,Alcaldia de Trujillo,87,2.8,1.9,3.4,3.3
2021,68,Santander,68575,Puerto Wilches,Alcaldia de Puerto Wilches,88,2.8,2.5,3.2,2.8
2021,76,Valle del Cauca,76113,Bugalagrande,Alcaldia de Bugalagrande,89,2.8,2,3.1,3.3
2021,94,Guainía,94001,Inírida,Alcaldia de Inírida,90,2.8,2.8,3.2,2.4
2021,76,Valle del Cauca,76845,Ulloa,Alcaldia de Ulloa,91,2.8,1.5,3.3,3.5
2021,70,Sucre,70820,Santiago De Tolú,Alcaldia de Santiago De Tolú,92,2.8,3,3.1,2.2
2021,76,Valle del Cauca,76126,Calima,Alcaldia de Calima,93,2.7,2.5,3.2,2.4
2021,76,Valle del Cauca,76248,El Cerrito,Alcaldia de El Cerrito,94,2.7,2.3,3.4,2.5
2021,18,Caquetá,18479,Morelia,Alcaldia de Morelia,95,2.7,2.2,3.1,2.8
2021,27,Chocó,27025,Alto Baudó,Alcaldia de Alto Baudó,96,2.6,2.5,2.9,2.5
2021,68,Santander,68162,Cerrito,Alcaldia de Cerrito,97,2.6,1.9,2.4,3.6
2021,73,Tolima,73055,Armero,Alcaldia de Armero,98,2.6,1.5,3,3.3
2021,68,Santander,68077,Barbosa,Alcaldia de Barbosa,99,2.6,N/A,3.4,1.8
2021,73,Tolima,73585,Purificación,Alcaldia de Purificación,100,2.6,2.1,3.1,2.6
2021,5,Antioquia,5809,Titiribí,Alcaldia de Titiribí,101,2.4,1.3,2.9,3.1
2021,15,Boyacá,15368,Jericó,Alcaldia de Jericó,102,2.4,2.3,3.4,1.6
2021,70,Sucre,70215,Corozal,Alcaldia de Corozal,103,2.4,1.8,3.4,2
2021,76,Valle del Cauca,76563,Pradera,Alcaldia de Pradera,104,2.3,1.3,3.4,2.2
2021,95,Guaviare,95001,San José Del Guaviare,Alcaldia de San José Del Guaviare,105,2.3,1.4,3,2.4
2021,5,Antioquia,NA,NA,Gobernación De Antioquia,1,4.1,4.5,4.3,3.6
2021,76,Valle Del Cauca,NA,NA,Gobernación De Valle Del Cauca,2,4.1,4.8,4.3,3.2
2021,15,Boyacá,NA,NA,Gobernación De Boyacá,3,3.8,3.8,3.8,3.7
2021,52,Nariño,NA,NA,Gobernación De Nariño,4,3.7,4,3.8,3.3
